City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Tokur,RU,53.13,132.90,50.68,92,100,2.84,overcast clouds
332,Antofagasta,CL,-23.65,-70.40,56.48,84,18,3.0,few clouds
333,Kudahuvadhoo,MV,2.67,72.89,81.12,78,85,7.58,overcast clouds
334,Kysyl-Syr,RU,63.90,122.76,56.86,70,97,5.53,overcast clouds
335,Lexington,US,37.99,-84.48,80.94,59,20,6.91,few clouds
336,Smolenka,RU,52.14,113.50,59.07,77,40,4.47,scattered clouds
337,Valdivia,CL,-39.81,-73.25,48.29,93,100,2.73,overcast clouds
338,Sibolga,ID,1.74,98.78,75.54,74,62,3.8,broken clouds
339,Kahului,US,20.89,-156.47,91.42,35,20,25.32,few clouds
340,Kayerkan,RU,69.35,87.76,46.53,100,99,6.04,light rain
341,Vanimo,PG,-2.67,141.30,84.0,69,54,2.37,broken clouds
342,Carahue,CL,-38.70,-73.17,45.1,96,100,2.24,overcast clouds
343,Te Anau,NZ,-45.42,167.72,42.78,73,22,0.34,few clouds
344,Avera,US,33.19,-82.53,77.05,59,98,7.38,overcast clouds
345,Evensk,RU,61.95,159.23,55.62,91,100,6.53,overcast clouds
346,Tuatapere,NZ,-46.13,167.68,46.92,58,18,1.81,few clouds
347,Hit,IQ,33.64,42.83,88.12,25,0,11.99,clear sky
348,Okha,RU,53.57,142.95,62.56,82,52,3.58,broken clouds
349,Garden City,US,42.33,-83.33,74.08,47,20,13.8,few clouds
350,Batagay-Alyta,RU,67.80,130.41,49.93,72,100,9.93,overcast clouds
351,Kavieng,PG,-2.57,150.80,82.33,76,98,11.01,light rain
352,Bambanglipuro,ID,-7.95,110.28,76.93,89,69,3.36,broken clouds
353,Umm Lajj,SA,25.02,37.27,87.6,71,89,10.69,overcast clouds
354,Qinzhou,CN,21.95,108.62,77.72,93,61,4.18,broken clouds
355,Caravelas,BR,-17.71,-39.25,72.79,70,88,9.71,overcast clouds
356,Ambulu,ID,-8.35,113.61,76.6,87,64,2.37,broken clouds
357,Yokadouma,CM,3.52,15.05,69.42,92,98,3.2,overcast clouds
358,Kodinsk,RU,58.69,99.18,54.37,90,4,2.98,clear sky
359,San Quintin,MX,30.48,-115.95,75.79,74,96,12.82,overcast clouds
360,Zabid,YE,14.20,43.32,79.93,72,100,5.21,overcast clouds
361,Hanmer Springs,NZ,-42.52,172.82,45.12,66,2,0.07,clear sky
362,Rocky Mountain House,CA,52.37,-114.92,60.1,91,68,8.01,broken clouds
363,Pacific Grove,US,36.62,-121.92,79.45,73,0,13.8,clear sky
364,Gizo,SB,-8.10,156.84,83.14,69,99,5.86,overcast clouds
365,Magadan,RU,59.57,150.80,63.54,85,92,2.24,overcast clouds
366,Siva,EG,29.20,25.52,79.97,51,0,7.45,clear sky
367,Kieta,PG,-6.22,155.63,84.09,65,100,1.52,overcast clouds
368,Islamkot,PK,24.70,70.18,83.52,83,100,11.43,light rain
369,Tateyama,JP,34.98,139.87,86.09,82,29,20.38,scattered clouds
370,Olafsvik,IS,64.89,-23.71,49.41,87,38,8.16,scattered clouds
371,Gat,IL,31.61,34.76,77.68,78,0,3.83,clear sky
372,Arlit,NE,18.74,7.39,97.3,12,13,10.87,few clouds
373,Turinsk,RU,58.05,63.70,54.57,88,48,7.74,scattered clouds
374,Tefe,BR,-3.35,-64.71,80.26,57,65,1.52,broken clouds
375,Chitungwiza,ZW,-18.01,31.08,53.46,60,0,8.5,clear sky
376,Cayenne,GF,4.93,-52.33,82.09,1,0,2.3,clear sky
377,Dunedin,NZ,-45.87,170.50,45.57,63,4,4.32,clear sky
378,Kurtamysh,RU,54.91,64.43,59.04,91,94,11.41,overcast clouds
379,Bonthe,SL,7.53,-12.51,75.74,90,63,7.63,moderate rain
380,Asosa,ET,10.07,34.53,59.94,93,99,3.4,overcast clouds
381,Sarangani,PH,5.40,125.46,82.69,72,23,4.9,few clouds
382,Vallenar,CL,-28.57,-70.76,59.22,67,100,3.11,overcast clouds
383,Baruun-Urt,MN,46.68,113.28,63.45,65,98,7.87,overcast clouds
384,Manggar,ID,-2.88,108.27,82.04,82,99,10.0,overcast clouds
385,Bukene,TZ,-4.23,32.88,64.89,61,84,8.05,broken clouds
386,Praya,CV,14.92,-23.51,79.34,73,20,12.66,few clouds
387,Rize,TR,40.90,40.89,54.86,91,55,2.17,broken clouds
388,Zyryanskoye,RU,56.83,86.63,51.96,73,2,6.24,clear sky
389,La Romana,DO,18.43,-68.97,79.16,89,75,0.0,broken clouds
390,Zunyi,CN,27.69,106.91,72.55,87,81,3.47,broken clouds
391,Anaconda,US,46.13,-112.94,88.79,25,67,5.93,broken clouds
392,Hasaki,JP,35.73,140.83,88.29,76,21,23.55,few clouds
